分类,关键字,问题,回答,公式
题目_小学,整数加减法算术运算计算,整数的加减法,整数的加减法是基础的算术运算。例如，计算 \(3 + (-5) = -2\) 和 \(-4 - (-2) = -2\)。,
题目_小学,分数加减法公共分母计算,分数的加减法,分数的加减法需要找到公共分母。例如，计算 \(\frac{1}{2} + \frac{1}{3} = \frac{3}{6} + \frac{2}{6} = \frac{5}{6}\) 和 \(\frac{3}{4} - \frac{1}{2} = \frac{3}{4} - \frac{2}{4} = \frac{1}{4}\)。,
题目_小学,分数乘法分子分母除法倒数,分数的乘除法,分数的乘法是分子乘分子，分母乘分母。分数的除法是乘以倒数。例如，计算 \(\frac{1}{2} \times \frac{3}{4} = \frac{3}{8}\) 和 \(\frac{3}{4} \div \frac{1}{2} = \frac{3}{4} \times \frac{2}{1} = \frac{3}{2}\)。,
题目_小学,小数加减法对齐小数点计算,小数的加减法,小数的加减法需要对齐小数点。例如，计算 \(0.5 + 0.25 = 0.75\) 和 \(1.2 - 0.8 = 0.4\)。,
题目_小学,小数乘法除法小数位数除数整数,小数的乘除法,小数的乘法需要计算小数位数。小数的除法需要将除数转换为整数。例如，计算 \(0.5 \times 0.2 = 0.1\) 和 \(0.6 \div 0.2 = 3\)。,
题目_小学,比例百分比值表示方式计算,比例与百分比,比例是两个数的比值，百分比是比例的另一种表示方式。例如，计算 \(2:5 = \frac{2}{5} = 0.4 = 40\%\)。,
题目_小学,表达式简化合并同类项,代数表达式的简化,代数表达式的简化需要合并同类项。例如，简化 \(3x + 2x - 5 = 5x - 5\)。,
题目_小学,一元一次方程解法变量等式常数移项解方程,一元一次方程的解法,一元一次方程的解法需要将变量移到等式的一边，常数移到另一边。例如，解方程 \(2x + 3 = 7\)，移项得 \(2x = 4\)，因此 \(x = 2\)。,
题目_小学,二元一次方程组解法代入法消元法方程变形解方程组,二元一次方程组的解法,二元一次方程组的解法可以使用代入法或消元法。例如，解方程组 \(\begin{cases} x + y = 5 \\ 2x - y = 1 \end{cases}\)，可以先用代入法将第一个方程变形为 \(y = 5 - x\)，代入第二个方程得 \(2x - (5 - x) = 1\)，解得 \(x = 2\)，进而 \(y = 3\)。,
题目_小学,不等式解法变量常数移项,不等式的解法,不等式的解法需要将变量移到不等式的一边，常数移到另一边。例如，解不等式 \(2x - 3 > 5\)，移项得 \(2x > 8\)，因此 \(x > 4\)。,
题目_小学,数轴点实数距离差的绝对值,数轴上的点与距离,数轴上的点表示实数，两点之间的距离是它们差的绝对值。例如，数轴上的点 \(3\) 和 \(-2\) 之间的距离为 \(|3 - (-2)| = 5\)。,
